user,standard_answer,status,most_similar_existing
What is mini terminal?,"The Mini Terminal is an extension of the main Trade Terminal. Its specific purpose is to display the same deal ticket as the Trade Terminal, but in the context of a specific trading chart, rather than in a separate window.",,
What is the Connect tool,"The Connect tool is a component of the Premium Trader Tools suite designed to give you customizable market-news and economic-calendar feeds, plus quick access to key HFM services such as deposit functionality, educational materials and webinar registration. You can tailor which news feeds you see, add your own RSS sources in any language, set up filters for specific instruments (e.g., EUR/USD or gold) and create alerts that notify you when matching content appears. The tool updates automatically and does not require re-installation, making it a convenient way to stay informed and act on relevant market information.",,
what is connect,"The Connect tool is a component of the Premium Trader Tools suite designed to give you customizable market-news and economic-calendar feeds, plus quick access to key HFM services such as deposit functionality, educational materials and webinar registration. You can tailor which news feeds you see, add your own RSS sources in any language, set up filters for specific instruments (e.g., EUR/USD or gold) and create alerts that notify you when matching content appears. The tool updates automatically and does not require re-installation, making it a convenient way to stay informed and act on relevant market information.",,
What are the benefits of hfm connect,"The Connect tool is a component of the Premium Trader Tools suite designed to give you customizable market-news and economic-calendar feeds, plus quick access to key HFM services such as deposit functionality, educational materials and webinar registration. You can tailor which news feeds you see, add your own RSS sources in any language, set up filters for specific instruments (e.g., EUR/USD or gold) and create alerts that notify you when matching content appears. The tool updates automatically and does not require re-installation, making it a convenient way to stay informed and act on relevant market information.",,
What is sentiment trader,"The Sentiment Trader is part of HFM’s “Premium Trader Tools” suite and shows live market-sentiment data based on real-time open positions (long vs short) across instruments. It features a dashboard for multiple symbols and includes a chart where historic sentiment is plotted against price. You can customise the display (gauge, pie chart, line or candlestick), choose the timeframe for past data, view your open position alongside sentiment, and even place trades directly from the tool. Sentiment is gathered from multiple providers (for example via FX Blue Labs) and is meant to assist decision-making rather than guarantee outcomes.",,
can the sentiment trader display historical data?,"The Sentiment Trader is part of HFM’s “Premium Trader Tools” suite and shows live market-sentiment data based on real-time open positions (long vs short) across instruments. It features a dashboard for multiple symbols and includes a chart where historic sentiment is plotted against price. You can customise the display (gauge, pie chart, line or candlestick), choose the timeframe for past data, view your open position alongside sentiment, and even place trades directly from the tool. Sentiment is gathered from multiple providers (for example via FX Blue Labs) and is meant to assist decision-making rather than guarantee outcomes.",,
how does sentiment trader work?,"The Sentiment Trader is part of HFM’s “Premium Trader Tools” suite and shows live market-sentiment data based on real-time open positions (long vs short) across instruments. It features a dashboard for multiple symbols and includes a chart where historic sentiment is plotted against price. You can customise the display (gauge, pie chart, line or candlestick), choose the timeframe for past data, view your open position alongside sentiment, and even place trades directly from the tool. Sentiment is gathered from multiple providers (for example via FX Blue Labs) and is meant to assist decision-making rather than guarantee outcomes.",,
what is session map,"The Session Map is one of HFM’s Premium Trader Tools designed to give traders a clear visual overview of global market sessions in real time. It shows which financial centers (such as London, New York, Tokyo, and Sydney) are currently open or closed and highlights overlapping trading hours when market activity typically increases. The map also displays key economic events and relative price movements, helping traders quickly identify when volatility might rise. This allows for better timing of trades and improved awareness of global market dynamics throughout the trading day.",,
what are the benefits of session map for market overview,"The Session Map is one of HFM’s Premium Trader Tools designed to give traders a clear visual overview of global market sessions in real time. It shows which financial centers (such as London, New York, Tokyo, and Sydney) are currently open or closed and highlights overlapping trading hours when market activity typically increases. The map also displays key economic events and relative price movements, helping traders quickly identify when volatility might rise. This allows for better timing of trades and improved awareness of global market dynamics throughout the trading day.",,
what information is shown on the session map,"The Session Map is one of HFM’s Premium Trader Tools designed to give traders a clear visual overview of global market sessions in real time. It shows which financial centers (such as London, New York, Tokyo, and Sydney) are currently open or closed and highlights overlapping trading hours when market activity typically increases. The map also displays key economic events and relative price movements, helping traders quickly identify when volatility might rise. This allows for better timing of trades and improved awareness of global market dynamics throughout the trading day.",,
what is alarm manager ,"The Alarm Manager is part of HFM’s Premium Trader Tools suite that acts as a personal trading assistant by monitoring market and account events in real time. It allows traders to set up customized alerts for specific price levels, account metrics, news releases, or time-based triggers. The tool can send notifications through pop-ups, email, or SMS, and can also execute automated actions such as opening or closing positions when predefined conditions are met. This helps traders stay informed and react instantly without having to constantly monitor the platform.",,
Can you setup alarm manager to send notifications or open positions automatically? ,"The Alarm Manager is part of HFM’s Premium Trader Tools suite that acts as a personal trading assistant by monitoring market and account events in real time. It allows traders to set up customized alerts for specific price levels, account metrics, news releases, or time-based triggers. The tool can send notifications through pop-ups, email, or SMS, and can also execute automated actions such as opening or closing positions when predefined conditions are met. This helps traders stay informed and react instantly without having to constantly monitor the platform.",,
How does the Alarm Manager function as a personal trading assistant?,"The Alarm Manager is part of HFM’s Premium Trader Tools suite that acts as a personal trading assistant by monitoring market and account events in real time. It allows traders to set up customized alerts for specific price levels, account metrics, news releases, or time-based triggers. The tool can send notifications through pop-ups, email, or SMS, and can also execute automated actions such as opening or closing positions when predefined conditions are met. This helps traders stay informed and react instantly without having to constantly monitor the platform.",,
What is the Excel RTD tool?,"The Excel RTD tool is a component of HFM’s Premium Trader Tools that lets traders stream real-time account, ticket, and price data directly into Microsoft Excel without requiring programming skills. By using simple formulas, you can display live data such as bid/ask prices, account balance, equity, or open positions in a customized spreadsheet layout. In addition to monitoring, the RTD tool also supports sending trading commands directly from Excel, allowing you to open, close, or modify positions right from your spreadsheet. This makes it ideal for traders who want to analyze or automate trading using Excel’s powerful functions and interface.",,
How can I link real-time HFM account data to an Excel spreadsheet?,"The Excel RTD tool is a component of HFM’s Premium Trader Tools that lets traders stream real-time account, ticket, and price data directly into Microsoft Excel without requiring programming skills. By using simple formulas, you can display live data such as bid/ask prices, account balance, equity, or open positions in a customized spreadsheet layout. In addition to monitoring, the RTD tool also supports sending trading commands directly from Excel, allowing you to open, close, or modify positions right from your spreadsheet. This makes it ideal for traders who want to analyze or automate trading using Excel’s powerful functions and interface.",,
Does the Excel RTD tool allow for sending trading commands from Excel?,"The Excel RTD tool is a component of HFM’s Premium Trader Tools that lets traders stream real-time account, ticket, and price data directly into Microsoft Excel without requiring programming skills. By using simple formulas, you can display live data such as bid/ask prices, account balance, equity, or open positions in a customized spreadsheet layout. In addition to monitoring, the RTD tool also supports sending trading commands directly from Excel, allowing you to open, close, or modify positions right from your spreadsheet. This makes it ideal for traders who want to analyze or automate trading using Excel’s powerful functions and interface.",,
what is market manager ,"The Market Manager is part of HFM’s Premium Trader Tools suite and serves as a compact control panel for managing trades, monitoring market activity, and tracking account performance in real time. It allows traders to view live prices, open and close positions, modify existing orders, and manage pending trades directly from a single interface. The tool also provides quick access to charts, news, and market sentiment data, helping traders make faster, more informed decisions. With its streamlined layout, Market Manager simplifies trade execution and portfolio oversight without needing to switch between multiple windows.",,
Can you place and modify orders directly from the Market Manager?,"The Market Manager is part of HFM’s Premium Trader Tools suite and serves as a compact control panel for managing trades, monitoring market activity, and tracking account performance in real time. It allows traders to view live prices, open and close positions, modify existing orders, and manage pending trades directly from a single interface. The tool also provides quick access to charts, news, and market sentiment data, helping traders make faster, more informed decisions. With its streamlined layout, Market Manager simplifies trade execution and portfolio oversight without needing to switch between multiple windows.",,
What functions does market manager include?,"The Market Manager is part of HFM’s Premium Trader Tools suite and serves as a compact control panel for managing trades, monitoring market activity, and tracking account performance in real time. It allows traders to view live prices, open and close positions, modify existing orders, and manage pending trades directly from a single interface. The tool also provides quick access to charts, news, and market sentiment data, helping traders make faster, more informed decisions. With its streamlined layout, Market Manager simplifies trade execution and portfolio oversight without needing to switch between multiple windows.",,
what is correlation matrix?,"The Correlation Matrix is part of HFM’s Premium Trader Tools suite and displays the correlation strength between different trading instruments over various timeframes. It visually represents how closely price movements of different markets are related, showing positive correlations (moving in the same direction) or negative correlations (moving in opposite directions). Traders can use this information to manage risk, diversify portfolios, and avoid overexposure to similarly behaving instruments. By quickly identifying strong or weak correlations, the Correlation Matrix helps traders make more balanced and informed trading decisions.",,
What data does the Correlation Matrix show about different markets?,"The Correlation Matrix is part of HFM’s Premium Trader Tools suite and displays the correlation strength between different trading instruments over various timeframes. It visually represents how closely price movements of different markets are related, showing positive correlations (moving in the same direction) or negative correlations (moving in opposite directions). Traders can use this information to manage risk, diversify portfolios, and avoid overexposure to similarly behaving instruments. By quickly identifying strong or weak correlations, the Correlation Matrix helps traders make more balanced and informed trading decisions.",,
Can you explain the purpose of the Correlation Matrix tool?,"The Correlation Matrix is part of HFM’s Premium Trader Tools suite and displays the correlation strength between different trading instruments over various timeframes. It visually represents how closely price movements of different markets are related, showing positive correlations (moving in the same direction) or negative correlations (moving in opposite directions). Traders can use this information to manage risk, diversify portfolios, and avoid overexposure to similarly behaving instruments. By quickly identifying strong or weak correlations, the Correlation Matrix helps traders make more balanced and informed trading decisions.",,
What is the difference between the Correlation Matrix and the Correlation Trader?,"The Correlation Trader is a tool within HFM’s Premium Trader Tools suite that allows traders to compare the price correlation between two specific instruments in real time. Unlike the Correlation Matrix, which provides a broad overview of correlations across many markets, the Correlation Trader focuses on a detailed analysis of just two selected symbols. It displays their price charts side by side, along with a correlation coefficient that updates continuously. Traders can monitor when correlations strengthen or weaken and can open, close, or hedge positions directly from the interface based on their correlation insights.",,
what is correlation trader? ,"The Correlation Trader is a tool within HFM’s Premium Trader Tools suite that allows traders to compare the price correlation between two specific instruments in real time. Unlike the Correlation Matrix, which provides a broad overview of correlations across many markets, the Correlation Trader focuses on a detailed analysis of just two selected symbols. It displays their price charts side by side, along with a correlation coefficient that updates continuously. Traders can monitor when correlations strengthen or weaken and can open, close, or hedge positions directly from the interface based on their correlation insights.",,
Can the Correlation Trader compare two specific symbols for trading?,"The Correlation Trader is a tool within HFM’s Premium Trader Tools suite that allows traders to compare the price correlation between two specific instruments in real time. Unlike the Correlation Matrix, which provides a broad overview of correlations across many markets, the Correlation Trader focuses on a detailed analysis of just two selected symbols. It displays their price charts side by side, along with a correlation coefficient that updates continuously. Traders can monitor when correlations strengthen or weaken and can open, close, or hedge positions directly from the interface based on their correlation insights.",,
What types of charts can the Tick Chart Trader display?,"The Tick Chart Trader is part of HFM’s Premium Trader Tools suite and provides traders with high-speed, tick-by-tick market data for precise short-term trading. It displays several chart types including tick lines, tick bars, and cumulative tick charts that update in real time with every price movement. The tool enables ultra-fast order entry by allowing traders to place buy or sell orders directly from the chart with a single click, minimizing execution time during volatile market conditions. This makes it especially useful for scalpers and active traders who rely on rapid reaction to price changes.",,
what is the tick chart trader?,"The Tick Chart Trader is part of HFM’s Premium Trader Tools suite and provides traders with high-speed, tick-by-tick market data for precise short-term trading. It displays several chart types including tick lines, tick bars, and cumulative tick charts that update in real time with every price movement. The tool enables ultra-fast order entry by allowing traders to place buy or sell orders directly from the chart with a single click, minimizing execution time during volatile market conditions. This makes it especially useful for scalpers and active traders who rely on rapid reaction to price changes.",,
How does the Tick Chart Trader enable ultra-fast order entry?,"The Tick Chart Trader is part of HFM’s Premium Trader Tools suite and provides traders with high-speed, tick-by-tick market data for precise short-term trading. It displays several chart types including tick lines, tick bars, and cumulative tick charts that update in real time with every price movement. The tool enables ultra-fast order entry by allowing traders to place buy or sell orders directly from the chart with a single click, minimizing execution time during volatile market conditions. This makes it especially useful for scalpers and active traders who rely on rapid reaction to price changes.",,
what is the indicator package?,"The Indicator Package is part of HFM’s Premium Trader Tools suite, designed to enhance chart analysis in MetaTrader 4 and MetaTrader 5 with a collection of advanced technical indicators. It provides traders with over 10 professional-grade tools that go beyond the standard MT4/MT5 indicators to help identify trends, volatility, and potential trade setups. The package includes tools such as the Candle Countdown, Chart-in-Chart, Renko Chart, Pivot Points, High-Low Indicator, Order History, Session High-Low, Symbol Info, Day Open Line, and Freehand Drawing. These indicators allow traders to visualize price behavior, session ranges, and entry points more effectively, improving technical precision and situational awareness in every market.",,
"What charting tools, are part of the Indicator Package?","The Indicator Package is part of HFM’s Premium Trader Tools suite, designed to enhance chart analysis in MetaTrader 4 and MetaTrader 5 with a collection of advanced technical indicators. It provides traders with over 10 professional-grade tools that go beyond the standard MT4/MT5 indicators to help identify trends, volatility, and potential trade setups. The package includes tools such as the Candle Countdown, Chart-in-Chart, Renko Chart, Pivot Points, High-Low Indicator, Order History, Session High-Low, Symbol Info, Day Open Line, and Freehand Drawing. These indicators allow traders to visualize price behavior, session ranges, and entry points more effectively, improving technical precision and situational awareness in every market.",,
What specific indicators are included in the MT4 & MT5 Indicator Package?,"The Indicator Package is part of HFM’s Premium Trader Tools suite, designed to enhance chart analysis in MetaTrader 4 and MetaTrader 5 with a collection of advanced technical indicators. It provides traders with over 10 professional-grade tools that go beyond the standard MT4/MT5 indicators to help identify trends, volatility, and potential trade setups. The package includes tools such as the Candle Countdown, Chart-in-Chart, Renko Chart, Pivot Points, High-Low Indicator, Order History, Session High-Low, Symbol Info, Day Open Line, and Freehand Drawing. These indicators allow traders to visualize price behavior, session ranges, and entry points more effectively, improving technical precision and situational awareness in every market.",,
Does HFM offer cryptocurrency trading?,"HFM provides cryptocurrency trading through CFDs on popular digital assets such as Bitcoin, Ethereum, Litecoin, and Ripple. Clients can trade crypto pairs against USD with leverage and competitive spreads, without owning the underlying coins. These instruments are available on both MT4 and MT5 platforms, offering the same execution speed and transparency as other CFD markets.",,
Can I trade crypto pairs with HFM?,"HFM provides cryptocurrency trading through CFDs on popular digital assets such as Bitcoin, Ethereum, Litecoin, and Ripple. Clients can trade crypto pairs against USD with leverage and competitive spreads, without owning the underlying coins. These instruments are available on both MT4 and MT5 platforms, offering the same execution speed and transparency as other CFD markets.",,
Which cryptocurrencies are available on HFM platforms?,"HFM provides cryptocurrency trading through CFDs on popular digital assets such as Bitcoin, Ethereum, Litecoin, and Ripple. Clients can trade crypto pairs against USD with leverage and competitive spreads, without owning the underlying coins. These instruments are available on both MT4 and MT5 platforms, offering the same execution speed and transparency as other CFD markets.",,
How do HFM account types differ?,"HFM offers several account types to suit different trading styles. The Cent account is designed for beginners with micro-lot trading, while the Premium account suits experienced traders seeking flexibility with no commission. The Zero and Pro accounts offer tighter spreads and professional-grade conditions, with the Zero account featuring raw spreads plus a small commission. Clients can compare features like minimum deposits, leverage, spreads, and execution directly on HFM’s account comparison page.",,
"What is the difference between HFM’s Cent, Zero, Pro, and Premium accounts?","HFM offers several account types to suit different trading styles. The Cent account is designed for beginners with micro-lot trading, while the Premium account suits experienced traders seeking flexibility with no commission. The Zero and Pro accounts offer tighter spreads and professional-grade conditions, with the Zero account featuring raw spreads plus a small commission. Clients can compare features like minimum deposits, leverage, spreads, and execution directly on HFM’s account comparison page.",,
Which HFM account type should I choose?,"HFM offers several account types to suit different trading styles. The Cent account is designed for beginners with micro-lot trading, while the Premium account suits experienced traders seeking flexibility with no commission. The Zero and Pro accounts offer tighter spreads and professional-grade conditions, with the Zero account featuring raw spreads plus a small commission. Clients can compare features like minimum deposits, leverage, spreads, and execution directly on HFM’s account comparison page.",,
How can I become a follower on HFM Copy Trading?,"To become a follower on HFM’s Copy Trading platform, you simply open an HFM account, access the Copy Trading area in your myHF dashboard, and select a strategy provider to follow. You can view each provider’s performance, risk level, and trading history before choosing. Once connected, your account automatically mirrors their trades proportionally, allowing you to benefit from experienced traders’ strategies while maintaining full control to pause or stop copying anytime.",,
What does it mean to follow a strategy provider on HFM?,"To become a follower on HFM’s Copy Trading platform, you simply open an HFM account, access the Copy Trading area in your myHF dashboard, and select a strategy provider to follow. You can view each provider’s performance, risk level, and trading history before choosing. Once connected, your account automatically mirrors their trades proportionally, allowing you to benefit from experienced traders’ strategies while maintaining full control to pause or stop copying anytime.",,
How do I copy trades from professional traders on HFM?,"To become a follower on HFM’s Copy Trading platform, you simply open an HFM account, access the Copy Trading area in your myHF dashboard, and select a strategy provider to follow. You can view each provider’s performance, risk level, and trading history before choosing. Once connected, your account automatically mirrors their trades proportionally, allowing you to benefit from experienced traders’ strategies while maintaining full control to pause or stop copying anytime.",,
How can I become a strategy provider on HFM?,"You can become a strategy provider by registering or converting your HFM account through the Copy Trading portal. Providers share their strategies with followers and earn a performance fee from their profits. The platform offers detailed analytics to track performance and transparency tools to display verified results, helping providers attract followers globally.",,
What are the requirements to join HFM as a strategy provider?,"You can become a strategy provider by registering or converting your HFM account through the Copy Trading portal. Providers share their strategies with followers and earn a performance fee from their profits. The platform offers detailed analytics to track performance and transparency tools to display verified results, helping providers attract followers globally.",,
How do I start sharing my strategies on HFM Copy Trading?,"You can become a strategy provider by registering or converting your HFM account through the Copy Trading portal. Providers share their strategies with followers and earn a performance fee from their profits. The platform offers detailed analytics to track performance and transparency tools to display verified results, helping providers attract followers globally.",,
What are Copy Strategies on HFM?,"Copy Strategies are trading profiles created by verified strategy providers on HFM’s Copy Trading platform. Each strategy displays detailed statistics such as total returns, risk rating, trading history, and number of followers. Clients can browse and compare multiple strategies before selecting the ones that best fit their goals and risk tolerance.",,
How can I view trading strategies on HFM’s Copy Trading platform?,"Copy Strategies are trading profiles created by verified strategy providers on HFM’s Copy Trading platform. Each strategy displays detailed statistics such as total returns, risk rating, trading history, and number of followers. Clients can browse and compare multiple strategies before selecting the ones that best fit their goals and risk tolerance.",,
Where can I find top strategies to follow on HFM?,"Copy Strategies are trading profiles created by verified strategy providers on HFM’s Copy Trading platform. Each strategy displays detailed statistics such as total returns, risk rating, trading history, and number of followers. Clients can browse and compare multiple strategies before selecting the ones that best fit their goals and risk tolerance.",,
What are PAMM Strategies on HFM?,"PAMM Strategies on HFM allow investors to allocate funds to professional fund managers who trade on their behalf. Each manager’s strategy is publicly displayed, including performance metrics and risk levels, so investors can choose based on results. Fund Managers receive a performance fee from investor profits, and all transactions remain transparent through real-time monitoring in the myHF dashboard.",,
How can I invest in a PAMM strategy?,"PAMM Strategies on HFM allow investors to allocate funds to professional fund managers who trade on their behalf. Each manager’s strategy is publicly displayed, including performance metrics and risk levels, so investors can choose based on results. Fund Managers receive a performance fee from investor profits, and all transactions remain transparent through real-time monitoring in the myHF dashboard.",,
What is the difference between a PAMM Investor and a PAMM Manager?,"PAMM Strategies on HFM allow investors to allocate funds to professional fund managers who trade on their behalf. Each manager’s strategy is publicly displayed, including performance metrics and risk levels, so investors can choose based on results. Fund Managers receive a performance fee from investor profits, and all transactions remain transparent through real-time monitoring in the myHF dashboard.",,
Does HFM provide daily market news?,"HFM provides daily market updates, expert analysis, and financial news covering major instruments such as Forex, commodities, and indices. The News & Analysis hub delivers technical and fundamental insights prepared by professional analysts, helping traders stay informed about global market movements. These updates are available directly from the HFM website under the Tools & Education section.",,
Where can I read HFM’s latest trading analysis?,"HFM provides daily market updates, expert analysis, and financial news covering major instruments such as Forex, commodities, and indices. The News & Analysis hub delivers technical and fundamental insights prepared by professional analysts, helping traders stay informed about global market movements. These updates are available directly from the HFM website under the Tools & Education section.",,
Does HFM publish regular market insights for traders?,"HFM provides daily market updates, expert analysis, and financial news covering major instruments such as Forex, commodities, and indices. The News & Analysis hub delivers technical and fundamental insights prepared by professional analysts, helping traders stay informed about global market movements. These updates are available directly from the HFM website under the Tools & Education section.",,
Where can I find all of HFM’s trading tools?,"HFM provides a wide range of free tools designed to enhance trading precision and market awareness. These include Autochartist, Premium Trader Tools, Trading Calculators, Advanced Insights, and the Traders’ Board. Each tool assists in market analysis, signal generation, or trade management, and all are accessible in one place through the All Tools page.",,
Does HFM have a page listing all available tools and calculators?,"HFM provides a wide range of free tools designed to enhance trading precision and market awareness. These include Autochartist, Premium Trader Tools, Trading Calculators, Advanced Insights, and the Traders’ Board. Each tool assists in market analysis, signal generation, or trade management, and all are accessible in one place through the All Tools page.",,
What kind of trading tools does HFM offer to clients?,"HFM provides a wide range of free tools designed to enhance trading precision and market awareness. These include Autochartist, Premium Trader Tools, Trading Calculators, Advanced Insights, and the Traders’ Board. Each tool assists in market analysis, signal generation, or trade management, and all are accessible in one place through the All Tools page.",,
Why should I choose HFM as my broker?,"HFM stands out for its global regulation, competitive pricing, and award-winning client service. The company offers multi-asset trading, advanced platforms, segregated client funds, and 24/5 multilingual support. Its focus on transparency, technology, and client education has earned HFM recognition as a trusted, top-tier international broker.",,
What makes HFM different from other brokers?,"HFM stands out for its global regulation, competitive pricing, and award-winning client service. The company offers multi-asset trading, advanced platforms, segregated client funds, and 24/5 multilingual support. Its focus on transparency, technology, and client education has earned HFM recognition as a trusted, top-tier international broker.",,
What are the advantages of trading with HFM?,"HFM stands out for its global regulation, competitive pricing, and award-winning client service. The company offers multi-asset trading, advanced platforms, segregated client funds, and 24/5 multilingual support. Its focus on transparency, technology, and client education has earned HFM recognition as a trusted, top-tier international broker.",,
How can I partner with HFM?,"HFM offers multiple partnership opportunities, including Introducing Broker (IB) and Affiliate programs. Partners earn competitive commissions by referring new clients and benefit from dedicated account management, detailed reporting, and real-time tracking tools. The programs are available globally, helping partners grow their business with HFM’s established brand and marketing support.",,
What partnership programs does HFM offer?,"HFM offers multiple partnership opportunities, including Introducing Broker (IB) and Affiliate programs. Partners earn competitive commissions by referring new clients and benefit from dedicated account management, detailed reporting, and real-time tracking tools. The programs are available globally, helping partners grow their business with HFM’s established brand and marketing support.",,
Can I become an Introducing Broker or Affiliate with HFM?,"HFM offers multiple partnership opportunities, including Introducing Broker (IB) and Affiliate programs. Partners earn competitive commissions by referring new clients and benefit from dedicated account management, detailed reporting, and real-time tracking tools. The programs are available globally, helping partners grow their business with HFM’s established brand and marketing support.",,
Can I open a joint account with HFM?,Yes — you can open a joint account with HFM. A joint account is owned by two account holders and either party is authorised to use it. Both account-holders must ensure that deposits come from a shared (joint) bank account in their names.,,
Can my spouse and I share a trading account?,Yes — you can open a joint account with HFM. A joint account is owned by two account holders and either party is authorised to use it. Both account-holders must ensure that deposits come from a shared (joint) bank account in their names.,,
Does HFM offer accounts for two people?,Yes — you can open a joint account with HFM. A joint account is owned by two account holders and either party is authorised to use it. Both account-holders must ensure that deposits come from a shared (joint) bank account in their names.,,
Can I open a corporate or business account with HFM?,HFM offers corporate accounts suitable for companies or business entities. A corporate account allows for multiple authorised users and is designed to allocate trading funds within a company structure. This account type enables firms to trade under the entity’s name rather than a personal individual name.,,
Does HFM offer accounts for companies?,HFM offers corporate accounts suitable for companies or business entities. A corporate account allows for multiple authorised users and is designed to allocate trading funds within a company structure. This account type enables firms to trade under the entity’s name rather than a personal individual name.,,
What is a corporate trading account?,HFM offers corporate accounts suitable for companies or business entities. A corporate account allows for multiple authorised users and is designed to allocate trading funds within a company structure. This account type enables firms to trade under the entity’s name rather than a personal individual name.,,
How many timeframes are on MT5 compared to MT4?,"MT5 offers a broader range of charting options compared to MT4. While MT4 provides 9 standard timeframes, MT5 expands this to 21 timeframes, giving traders more granular control over technical analysis and market visualization. The additional timeframes allow for more precise identification of trends and entry points, making MT5 the preferred platform for traders who rely on detailed chart analysis.",,
What is the difference in timeframes between MT4 and MT5?,"MT5 offers a broader range of charting options compared to MT4. While MT4 provides 9 standard timeframes, MT5 expands this to 21 timeframes, giving traders more granular control over technical analysis and market visualization. The additional timeframes allow for more precise identification of trends and entry points, making MT5 the preferred platform for traders who rely on detailed chart analysis.",,
Why should I choose MT5 for charts?,"MT5 offers a broader range of charting options compared to MT4. While MT4 provides 9 standard timeframes, MT5 expands this to 21 timeframes, giving traders more granular control over technical analysis and market visualization. The additional timeframes allow for more precise identification of trends and entry points, making MT5 the preferred platform for traders who rely on detailed chart analysis.",,
How many indicators does MT5 have versus MT4?,"MT5 includes a larger selection of built-in technical indicators than MT4. While MT4 offers 30 standard indicators, MT5 expands this number to 38, covering a wider range of trend, volume, and oscillator tools. In addition, MT5 supports more graphical objects and analytical tools, allowing traders to perform deeper and more customized market analysis compared to MT4.",,
What’s the difference in technical indicators between MT4 and MT5?,"MT5 includes a larger selection of built-in technical indicators than MT4. While MT4 offers 30 standard indicators, MT5 expands this number to 38, covering a wider range of trend, volume, and oscillator tools. In addition, MT5 supports more graphical objects and analytical tools, allowing traders to perform deeper and more customized market analysis compared to MT4.",,
Does MT5 have more indicators?,"MT5 includes a larger selection of built-in technical indicators than MT4. While MT4 offers 30 standard indicators, MT5 expands this number to 38, covering a wider range of trend, volume, and oscillator tools. In addition, MT5 supports more graphical objects and analytical tools, allowing traders to perform deeper and more customized market analysis compared to MT4.",,
How many pending order types are on MT5 compared to MT4?,"MT5 offers six types of pending orders, while MT4 provides four. In addition to MT4’s Buy Limit, Sell Limit, Buy Stop, and Sell Stop, MT5 introduces two extra types — Buy Stop Limit and Sell Stop Limit — allowing for more precise trade entries. These additional order types give traders greater flexibility in managing breakout and retracement strategies, making MT5 a more advanced platform for trade execution.",,
What is the difference in order types between MT4 and MT5?,"MT5 offers six types of pending orders, while MT4 provides four. In addition to MT4’s Buy Limit, Sell Limit, Buy Stop, and Sell Stop, MT5 introduces two extra types — Buy Stop Limit and Sell Stop Limit — allowing for more precise trade entries. These additional order types give traders greater flexibility in managing breakout and retracement strategies, making MT5 a more advanced platform for trade execution.",,
Does MT5 have more pending orders?,"MT5 offers six types of pending orders, while MT4 provides four. In addition to MT4’s Buy Limit, Sell Limit, Buy Stop, and Sell Stop, MT5 introduces two extra types — Buy Stop Limit and Sell Stop Limit — allowing for more precise trade entries. These additional order types give traders greater flexibility in managing breakout and retracement strategies, making MT5 a more advanced platform for trade execution.",,
How much can I earn from the HFM “Refer a Friend” program?,"You can earn a cash reward of up to USD 200 for each friend you refer who registers and meets the qualifying conditions in HFM’s “Refer a Friend” program. The reward is paid in cash, not just points or credit, and there is no specified upper limit on the number of referrals you can make. Your friend simply needs to open an account, register via your referral link, and meet deposit and trading milestones as defined in the program terms.",,
What is the reward for referring a friend to HFM?,"You can earn a cash reward of up to USD 200 for each friend you refer who registers and meets the qualifying conditions in HFM’s “Refer a Friend” program. The reward is paid in cash, not just points or credit, and there is no specified upper limit on the number of referrals you can make. Your friend simply needs to open an account, register via your referral link, and meet deposit and trading milestones as defined in the program terms.",,
Is the “Refer a Friend” program cash?,"You can earn a cash reward of up to USD 200 for each friend you refer who registers and meets the qualifying conditions in HFM’s “Refer a Friend” program. The reward is paid in cash, not just points or credit, and there is no specified upper limit on the number of referrals you can make. Your friend simply needs to open an account, register via your referral link, and meet deposit and trading milestones as defined in the program terms.",,
What is the ‘Client Positions’ feature on the Traders’ Board?,The Client Positions feature on the Traders' Board tool gives you a real-time snapshot of how HFM’s clients are positioned across different symbols — showing the volume of trades and whether traders are net long or net short. It allows you to gauge market sentiment by seeing aggregate client behaviour alongside volume per symbol. This insight helps you understand prevailing trader positions and may inform your own market view — though it is provided for information only and is not a trading signal.,,
Can I see how other HFM clients are trading?,The Client Positions feature on the Traders' Board tool gives you a real-time snapshot of how HFM’s clients are positioned across different symbols — showing the volume of trades and whether traders are net long or net short. It allows you to gauge market sentiment by seeing aggregate client behaviour alongside volume per symbol. This insight helps you understand prevailing trader positions and may inform your own market view — though it is provided for information only and is not a trading signal.,,
What does the client sentiment tool show?,The Client Positions feature on the Traders' Board tool gives you a real-time snapshot of how HFM’s clients are positioned across different symbols — showing the volume of trades and whether traders are net long or net short. It allows you to gauge market sentiment by seeing aggregate client behaviour alongside volume per symbol. This insight helps you understand prevailing trader positions and may inform your own market view — though it is provided for information only and is not a trading signal.,,
Does the Traders’ Board show trading volume?,"the Traders' Board displays trading volume via its “Volume per symbol” feature, which shows the volume of trades placed by HFM clients on each instrument. This means you can see which symbols are most traded at a glance, helping you understand where the activity is concentrated in the market and gauge popularity and liquidity of different instruments.",,
What is the “Volume per symbol” tool?,"the Traders' Board displays trading volume via its “Volume per symbol” feature, which shows the volume of trades placed by HFM clients on each instrument. This means you can see which symbols are most traded at a glance, helping you understand where the activity is concentrated in the market and gauge popularity and liquidity of different instruments.",,
Can I see which instruments are most traded on HFM?,"the Traders' Board displays trading volume via its “Volume per symbol” feature, which shows the volume of trades placed by HFM clients on each instrument. This means you can see which symbols are most traded at a glance, helping you understand where the activity is concentrated in the market and gauge popularity and liquidity of different instruments.",,
